id,name,email,age,gender,interaction_history
690c09fcf6b6910c9c5677a8,Amazon User AEAH2OUD,amazon_user_aeah2oudqxqifgxrn4oo65dxbu5a@placeholder.com,,,"{'_id': ObjectId('690c13edca0e8f57201c883e'), 'productId': ObjectId('68fd618251f9562e9cca73b9'), 'interactionType': 'review', 'rating': 5, 'timestamp': datetime.datetime(2025, 11, 6, 2, 37, 48, 377000)};{'_id': ObjectId('690c13edca0e8f57201c883f'), 'productId': ObjectId('68fd618251f9562e9cca7589'), 'interactionType': 'review', 'rating': 5, 'timestamp': datetime.datetime(2025, 11, 6, 2, 37, 48, 377000)}"
690c0a04f6b6910c9c567954,Amazon User AGB6UF2F,amazon_user_agb6uf2fy645crted5mpm3b4rzua@placeholder.com,,,"{'_id': ObjectId('690c13eeca0e8f57201c8873'), 'productId': ObjectId('68fd616a51f9562e9cca6d60'), 'interactionType': 'review', 'rating': 1, 'timestamp': datetime.datetime(2025, 11, 6, 2, 37, 56, 363000)};{'_id': ObjectId('690c13eeca0e8f57201c8874'), 'productId': ObjectId('68fd617451f9562e9cca6fa6'), 'interactionType': 'review', 'rating': 1, 'timestamp': datetime.datetime(2025, 11, 6, 2, 37, 56, 363000)}"
691cd8355fee2d4ca1ba6a34,User 1,user_1@novaware.com,53,male,
691cd8365fee2d4ca1ba6a35,User 2,user_2@novaware.com,56,male,
691cd8365fee2d4ca1ba6a36,User 3,user_3@novaware.com,40,female,
691cd8375fee2d4ca1ba6a37,User 4,user_4@novaware.com,64,female,
691cd8375fee2d4ca1ba6a38,User 5,user_5@novaware.com,47,male,
691cd8385fee2d4ca1ba6a39,User 6,user_6@novaware.com,52,male,
691cd8385fee2d4ca1ba6a3a,User 7,user_7@novaware.com,19,male,
691cd8395fee2d4ca1ba6a3b,User 8,user_8@novaware.com,26,female,
691cd8395fee2d4ca1ba6a3c,User 9,user_9@novaware.com,50,female,
691cd83a5fee2d4ca1ba6a3d,User 10,user_10@novaware.com,19,male,
691cd83a5fee2d4ca1ba6a3e,User 11,user_11@novaware.com,34,male,
691cd83b5fee2d4ca1ba6a3f,User 12,user_12@novaware.com,44,male,
691cd83b5fee2d4ca1ba6a40,User 13,user_13@novaware.com,50,male,
691cd83c5fee2d4ca1ba6a41,User 14,user_14@novaware.com,30,male,
691cd83c5fee2d4ca1ba6a42,User 15,user_15@novaware.com,54,female,
691cd83d5fee2d4ca1ba6a43,User 16,user_16@novaware.com,22,female,
691cd83d5fee2d4ca1ba6a44,User 17,user_17@novaware.com,29,male,
691cd83e5fee2d4ca1ba6a45,User 18,user_18@novaware.com,31,male,
691cd83e5fee2d4ca1ba6a46,User 19,user_19@novaware.com,60,female,
691cd83f5fee2d4ca1ba6a47,User 20,user_20@novaware.com,62,female,
691cd83f5fee2d4ca1ba6a48,User 21,user_21@novaware.com,27,male,
691cd8405fee2d4ca1ba6a49,User 22,user_22@novaware.com,54,male,
691cd8405fee2d4ca1ba6a4a,User 23,user_23@novaware.com,41,male,
691cd8415fee2d4ca1ba6a4b,User 24,user_24@novaware.com,22,male,
691cd8425fee2d4ca1ba6a4c,User 25,user_25@novaware.com,65,male,
691cd8425fee2d4ca1ba6a4d,User 26,user_26@novaware.com,52,male,
691cd8435fee2d4ca1ba6a4e,User 27,user_27@novaware.com,48,female,
691cd8435fee2d4ca1ba6a4f,User 28,user_28@novaware.com,25,female,
691cd8445fee2d4ca1ba6a50,User 29,user_29@novaware.com,25,male,
691cd8445fee2d4ca1ba6a51,User 30,user_30@novaware.com,37,female,
691cd8455fee2d4ca1ba6a52,User 31,user_31@novaware.com,45,female,
691cd8455fee2d4ca1ba6a53,User 32,user_32@novaware.com,54,male,
691cfd13e945424758832bff,Admin NovaWare,adminnoware@gmail.com,,,
